1C,1c
Android Studio,adnr_studio
Ansible,ansible
AOV,aov
Apache Airflow,apache_airflow
Apache Kafka,apache_kafka
Apache Spark,apache_spark
apiDoc и Swagger,apidoc_and_swagger
Apidoc/Swagger,apidoc_swagger
ARPPU,arppu
ARPU,arpu
Asana,asana
asgi,asgi
AsyncIO,asyncio
AutoLayout,autolayout
AVG,avg
Backups,backups
BASH,bash
BDD,bdd
Boolean search,boolean_search
Boost,boost
BPMN,bpmn
Burp Suite,burp_suite
Canvas API,canvas_api
Catboost,catboost
Censys,censys
Charles,charles
ChatGPT,chatgpt
CI/CD,ci_cd
Cinema 4D,cinema_4d
CJM,cjm
Clickhouse,clickhouse
ClickHouse,clickhouse
CMake,cmake
CocoaPods,cocoapods
Compute Cloud,compute_cloud
Conan,conan
Content Provider,content_provider
CoreData,coredata
Coroutines,coroutines
COUNT,count
CRM,crm
CSS,css
CSS Layouts,css_layouts
Custom Properties,custom_properties
Cygwin/Terminal,cygwin_terminal
Cypress,cypress
Daphne,daphne
DataLens,datalens
Datawrapper,datawrapper
DATE TRUNC,date_trunc
DBeaver,dbeaver
DBS,dbs
DevTools,devtools
DFD,dfd
Dirsearch,dirsearch
Django,django
Docker,docker
Docker compose,docker_compose
Docker Hub,docker_hub
DOM,dom
Elasticsearch,elasticsearch
ELK,elk
Email-маркетинг,email_marketing
Empathy map,empathy_map
ER-диаграмма,er_diagram
ETL,etl
Event Storming,event_storming
Event-маркетинг,event_marketing
Evidently,evidently
Excel,excel
Express,express
Express.js,express_js
EXTRACT,extract
FastAPI,fastapi
FBS,fbs
FBY,fby
Ffuf,ffuf
Fiddler,fiddler
FigJam,figjam
Figma,figma
Flexbox,flexbox
GanttPRO,ganttpro
GCD,gcd
Git,git
GitBASH,gitbash
GitHub,github
GitLab CI,gitlab_ci
Go,go
Google Мой бизнес,google_my_business
Google Таблицы,google_spreadsheets
Google Ads,google_ads
Google Analytics,google_analytics
Google Docs,google_docs
Google Sheets,google_sheets
Google Slides,google_slides
Google Tag Manager,google_tag_manager
Gradle,gradle
Grafana,grafana
Grid Layout,grid_layout
GROUP BY,group_by
gRPC,grpc
GUI,gui
Gulp,gulp
Gunicorn,gunicorn
HADI,hadi
Hadoop,hadoop
HAVING,having
HeadHunter,headhunter
Helm,helm
HR-дашборд,hr_dashboard
HR-отчётность,hr_reporting
HTML,html
HTTP,http
HTTPX,httpx
IDE,ide
implicit,implicit
Infrastructure as Code,infrastructure_as_code
IntelliJ IDEA,intellij_idea
IRR,irr
Java,java
Java Core,java_core
JavaScript,javascript
Jenkins,jenkins
Jest,jest
Jira,jira
JSON,json
JSON / XML,json_xml
JSON, XML и XSD,json_xml_xsd
JSON/SOAP,json_soap
JSON/XML,json_xml
JTBD,jtbd
JUnit,junit
Jupyter,jupyter
JVM Tests,jvm_tests
JWT,jwt
Kafka,kafka
Kaiten,kaiten
Kakdela,kakdela
Kanban,kanban
Katana,katana
Keras,keras
Keychain,keychain
Koin,koin
Kotlin,kotlin
Kubernetes,kubernetes
Lean Canvas,lean_canvas
LIMIT,limit
Linux,linux
Linux cron job,linux_cron_job
Load tstng,load_tstng
Load-balancing,load_balancing
